Model	PR-AUC	F1	Recall	Precision	Acc
CategoricalNB	0.76	0.67	0.70	0.68	0.93
NearestCentroid	0.72	0.65	0.76	0.57	0.91
Linear DA	0.71	0.67	0.64	0.71	0.93
AdaBoost	0.70	0.61	0.53	0.76	0.93
BernoulliNB	0.67	0.63	0.61	0.70	0.93
LogisticRegression	0.72	0.60	0.47	0.85	0.93
GaussianProcess	0.71	0.46	0.31	0.92	0.92
Logistic RegressionCV	0.71	0.55	0.43	0.81	0.93
CalibratedCV	0.71	0.54	0.39	0.89	0.93
GaussianNB	0.71	0.54	0.84	0.41	0.85
RandomForest	0.67	0.44	0.33	0.67	0.91
Quadratic DA	0.61	0.56	0.84	0.43	0.86
MLP	0.59	0.51	0.39	0.77	0.92
HistGradientBoosting	0.59	0.46	0.37	0.64	0.91
KNeighbors	0.58	0.45	0.29	0.93	0.92
ExtraTrees	0.57	0.46	0.39	0.58	0.91
Bagging	0.56	0.50	0.41	0.65	0.91
GradientBoosting	0.56	0.52	0.45	0.64	0.91
DecisionTree	0.50	0.41	0.39	0.43	0.88
LabelSpreading	0.44	0.49	0.41	0.62	0.91
ExtraTree	0.43	0.41	0.40	0.46	0.89
LabelPropagation	0.39	0.49	0.41	0.62	0.91
ComplementNB	0.23	0.29	0.46	0.22	0.78
