Model	PR-AUC	F1	Recall	Precision	Acc
CategoricalNB	0.76	0.67	0.70	0.68	0.93
LogisticRegression	0.72	0.60	0.47	0.85	0.93
NearestCentroid	0.72	0.65	0.76	0.57	0.91
GaussianProcessClassifier	0.71	0.46	0.31	0.92	0.92
LogisticRegressionCV	0.71	0.55	0.43	0.81	0.93
CalibratedClassifierCV	0.71	0.54	0.39	0.89	0.93
LinearDiscriminantAnalysis	0.71	0.67	0.64	0.71	0.93
GaussianNB	0.71	0.54	0.84	0.41	0.85
AdaBoostClassifier	0.70	0.61	0.53	0.76	0.93
RandomForestClassifier	0.67	0.44	0.33	0.67	0.91
BernoulliNB	0.67	0.63	0.61	0.70	0.93
QuadraticDiscriminantAnalysis	0.61	0.56	0.84	0.43	0.86
MLPClassifier	0.59	0.51	0.39	0.77	0.92
HistGradientBoostingClassifier	0.59	0.46	0.37	0.64	0.91
KNeighborsClassifier	0.58	0.45	0.29	0.93	0.92
ExtraTreesClassifier	0.57	0.46	0.39	0.58	0.91
BaggingClassifier	0.56	0.50	0.41	0.65	0.91
GradientBoostingClassifier	0.56	0.52	0.45	0.64	0.91
DummyClassifier	0.55	0.00	0.00	0.00	0.90
DecisionTreeClassifier	0.50	0.41	0.39	0.43	0.88
LabelSpreading	0.44	0.49	0.41	0.62	0.91
ExtraTreeClassifier	0.43	0.41	0.40	0.46	0.89
LabelPropagation	0.39	0.49	0.41	0.62	0.91
MultinomialNB	0.23	0.00	0.00	0.00	0.90
ComplementNB	0.23	0.29	0.46	0.22	0.78
