x,AdaBoostClassifier,BaggingClassifier,BernoulliNB,CalibratedClassifierCV,CategoricalNB,ComplementNB,DecisionTreeClassifier,DummyClassifier,ExtraTreeClassifier,ExtraTreesClassifier,GaussianNB,GaussianProcessClassifier,GradientBoostingClassifier,HistGradientBoostingClassifier,KNeighborsClassifier,LabelPropagation,LabelSpreading,LinearDiscriminantAnalysis,LinearSVC,LogisticRegression,LogisticRegressionCV,MLPClassifier,MultinomialNB,NearestCentroid,NuSVC,PassiveAggressiveClassifier,Perceptron,QuadraticDiscriminantAnalysis,RadiusNeighborsClassifier,RandomForestClassifier,RidgeClassifier,RidgeClassifierCV,SGDClassifier,SVC
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35333333333333333,0.0,0.0,0.0,0.1,0.0,0.0,0.36666666666666664,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,,0.0,0.0,0.35333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
2,0.3,0.0,0.3,0.0,0.3,0.24666666666666667,0.0,0.0,0.0,0.0,0.28238095238095234,0.0,0.0,0.0,0.0,0.0,0.0,0.36666666666666664,0.0,0.0,0.0,0.0,0.0,0.2568253968253968,,0.01917808219178082,0.0,0.28238095238095234,0.0,0.0,0.0,0.0,0.06666666666666667,0.0
3,0.4,0.1,0.3,0.0,0.3,0.3333333333333333,0.0,0.0,0.0,0.0,0.2834343434343435,0.0,0.2,0.0,0.0,0.0,0.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.25,,0.2861111111111111,0.0,0.2834343434343435,0.0,0.0,0.0,0.0,0.0,0.0
4,0.4,0.3,0.3,0.0,0.3,0.3333333333333333,0.0,0.0,0.0,0.0,0.2824603174603174,0.0,0.2,0.0,0.0,0.0,0.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.2494047619047619,,0.21944444444444447,0.3,0.2652380952380953,0.0,0.1,0.0,0.0,0.16666666666666666,0.0
5,0.5,0.1,0.4,0.0,0.5,0.3038095238095238,0.4,0.0,0.2,0.2,0.2419047619047619,0.0,0.3,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.20384352489615645,,0.08611111111111111,0.15238095238095237,0.24365079365079362,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
6,0.5,0.16666666666666666,0.4666666666666667,0.0,0.26666666666666666,0.17847707847707844,0.3,0.0,0.2,0.16666666666666666,0.22262737262737264,0.0,0.3,0.0,0.0,0.2,0.2,0.38666666666666666,0.1,0.2,0.0,0.1,0.0,0.21521367521367524,,0.41944444444444445,0.4,0.20754578754578756,0.2,0.1,0.1,0.0,0.15251141552511416,0.0
7,0.5,0.0,0.4666666666666667,0.0,0.26666666666666666,0.20047619047619047,0.3,0.0,0.1,0.1,0.2119130869130869,0.0,0.1,0.0,0.0,0.2,0.2,0.38666666666666666,0.1,0.2,0.0,0.3,0.0,0.21521367521367524,,0.11111111111111112,0.36666666666666664,0.2583333333333333,0.2,0.1,0.1,0.0,0.42857142857142855,0.0
8,0.3,0.16666666666666666,0.5,0.0,0.36666666666666664,0.1871428571428571,0.20666666666666664,0.0,0.21666666666666665,0.13333333333333333,0.24456654456654459,0.0,0.2333333333333333,0.2,0.0,0.15,0.15,0.38666666666666666,0.1,0.1,0.0,0.1,0.0,0.2138791018586415,,0.05,0.25,0.24358974358974356,,0.13333333333333333,0.1,0.0,0.2952380952380952,0.0
9,0.26666666666666666,0.26666666666666666,0.4166666666666667,0.1,0.4166666666666667,0.18888888888888888,0.31666666666666665,0.0,0.21666666666666665,0.16666666666666666,0.2125,0.1,0.3333333333333333,0.2,0.26666666666666666,0.1,0.1,0.37,0.3,0.3,0.1,0.1,0.0,0.20846491228070177,,0.4,0.259047619047619,0.18095238095238092,,0.26666666666666666,0.3,0.1,0.2861111111111111,0.0
10,0.26666666666666666,0.18666666666666668,0.65,0.0,0.45,0.17525252525252527,0.2333333333333333,0.0,0.1833333333333333,0.16666666666666666,0.20955882352941177,0.0,0.06666666666666667,0.2,0.1,0.06666666666666667,0.06666666666666667,0.37,0.3,0.3,0.0,0.1,0.0,0.169281045751634,,0.1,0.17523809523809525,0.18388888888888888,,0.13333333333333333,0.3,0.1,0.06444444444444444,0.0
